Rk,Season,Team,G,W,L,W/L%,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,DRB%,FTr,opp_eFG%,opp_TS%,opp_TOV%,opp_ORB%,opp_DRB%,opp_FTr
1038,2022-23,Louisiana State,33,14,19,0.424,66.7,101.4,106.1,0.473,0.513,15.7,31.7,71.2,0.337,0.518,0.549,15.3,28.8,68.3,0.303
1039,2021-22,Louisiana State,34,22,12,0.647,70.4,102.3,89.4,0.493,0.531,17.7,33.9,69.1,0.334,0.451,0.493,21.7,30.9,66.1,0.378
1040,2020-21,Louisiana State,29,19,10,0.655,72.6,112.1,103.1,0.523,0.56,13.5,31.2,68.0,0.34,0.485,0.518,15.3,32.0,68.8,0.298
1041,2019-20,Louisiana State,31,21,10,0.677,70.8,112.8,102.7,0.527,0.568,15.1,35.1,71.5,0.354,0.494,0.52,14.4,28.5,64.9,0.264
1042,2023-24,Louisiana,33,19,14,0.576,70.4,107.8,101.8,0.516,0.545,14.5,31.5,67.7,0.281,0.493,0.536,18.1,32.3,68.5,0.399
1043,2022-23,Louisiana,34,26,8,0.765,69.2,111.4,100.0,0.542,0.568,15.2,34.0,74.1,0.365,0.493,0.526,16.0,25.9,66.0,0.326
1044,2021-22,Louisiana,31,16,15,0.516,70.5,100.0,97.6,0.491,0.527,18.5,33.3,72.8,0.352,0.464,0.508,16.1,27.2,66.7,0.342
1045,2020-21,Louisiana,26,17,9,0.654,72.1,102.2,100.0,0.501,0.529,17.5,33.6,72.7,0.288,0.476,0.514,14.6,27.3,66.4,0.294
1046,2019-20,Louisiana,33,14,19,0.424,72.8,100.1,104.2,0.484,0.526,16.8,29.0,70.5,0.346,0.513,0.548,16.7,29.5,71.0,0.326
1047,2023-24,Longwood,35,21,14,0.6,67.9,108.5,99.4,0.502,0.537,15.4,38.3,75.5,0.392,0.509,0.54,17.7,24.5,61.7,0.351
1048,2022-23,Longwood,32,20,12,0.625,67.1,109.1,98.7,0.518,0.551,15.2,32.6,73.6,0.33,0.509,0.542,19.1,26.4,67.4,0.324
1049,2021-22,Longwood,33,26,7,0.788,67.8,110.8,96.2,0.521,0.556,15.1,34.2,76.7,0.345,0.503,0.533,18.7,23.3,65.8,0.254
1050,2020-21,Longwood,29,12,17,0.414,66.3,99.8,102.2,0.499,0.529,17.3,27.6,73.0,0.315,0.519,0.552,18.1,27.0,72.4,0.331
1051,2019-20,Longwood,32,14,18,0.438,68.5,96.5,98.6,0.487,0.521,17.5,23.6,75.0,0.332,0.505,0.535,18.0,25.0,76.4,0.343
1052,2023-24,Long Beach State,36,21,15,0.583,72.9,105.4,103.5,0.487,0.527,14.7,33.3,70.9,0.382,0.507,0.54,16.2,29.1,66.7,0.312
1053,2022-23,Long Beach State,33,17,16,0.515,72.6,102.7,99.8,0.49,0.521,16.1,35.0,72.3,0.339,0.489,0.523,16.5,27.7,65.0,0.296
1054,2021-22,Long Beach State,33,20,13,0.606,71.7,101.9,100.7,0.492,0.535,16.1,27.8,73.6,0.386,0.512,0.544,17.8,26.4,72.2,0.274
1055,2020-21,Long Beach State,18,6,12,0.333,74.2,96.7,104.1,0.506,0.538,18.9,23.1,68.5,0.377,0.494,0.529,15.2,31.5,76.9,0.349
1056,2019-20,Long Beach State,32,11,21,0.344,71.8,93.1,103.8,0.484,0.519,19.9,25.4,69.3,0.34,0.513,0.542,17.2,30.7,74.6,0.297
1057,2023-24,LIU,29,7,22,0.241,71.3,92.5,106.8,0.464,0.496,17.8,25.4,71.3,0.315,0.508,0.544,13.9,28.7,74.6,0.41
1058,2022-23,LIU,29,3,26,0.103,73.6,90.7,108.7,0.47,0.499,19.7,26.1,70.5,0.318,0.539,0.562,15.2,29.5,73.9,0.315
1059,2021-22,LIU,30,16,14,0.533,73.3,101.2,99.4,0.491,0.519,15.9,30.4,70.6,0.297,0.478,0.512,16.0,29.4,69.6,0.298
1060,2020-21,LIU,18,9,9,0.5,74.5,99.3,97.9,0.473,0.502,16.3,32.9,71.5,0.312,0.499,0.528,18.4,28.5,67.1,0.284
1061,2019-20,LIU,33,15,18,0.455,73.9,101.2,102.4,0.52,0.551,16.9,21.5,69.4,0.326,0.5,0.529,16.2,30.6,78.5,0.28
1062,2023-24,Little Rock,34,21,13,0.618,69.9,109.8,103.0,0.526,0.562,15.1,31.9,69.9,0.328,0.481,0.524,15.3,30.1,68.1,0.353
1063,2022-23,Little Rock,31,10,21,0.323,72.9,102.6,108.0,0.492,0.529,15.9,29.7,70.5,0.331,0.549,0.572,17.0,29.5,70.3,0.371
1064,2021-22,Little Rock,28,9,19,0.321,68.0,96.4,105.6,0.485,0.524,17.8,24.6,70.9,0.325,0.544,0.568,18.3,29.1,75.4,0.298
1065,2020-21,Little Rock,26,11,15,0.423,67.9,100.2,100.0,0.508,0.542,19.2,31.1,72.6,0.369,0.505,0.535,17.8,27.4,68.9,0.272
1066,2019-20,Little Rock,31,21,10,0.677,70.2,104.4,98.9,0.527,0.566,19.3,30.7,71.8,0.45,0.491,0.524,17.3,28.2,69.3,0.336
1067,2023-24,Lipscomb,32,20,12,0.625,71.2,115.3,107.5,0.57,0.597,12.7,23.6,71.7,0.274,0.526,0.548,14.2,28.3,76.4,0.228
1068,2022-23,Lipscomb,33,20,13,0.606,69.7,108.0,100.4,0.543,0.568,15.2,26.4,75.9,0.25,0.493,0.522,14.6,24.1,73.6,0.23
1069,2021-22,Lipscomb,33,14,19,0.424,71.2,104.0,108.0,0.529,0.563,16.4,23.1,72.4,0.351,0.508,0.533,12.2,27.6,76.9,0.225
1070,2020-21,Lipscomb,27,15,12,0.556,68.4,103.7,99.7,0.527,0.555,15.8,23.6,73.5,0.337,0.501,0.523,16.4,26.5,76.4,0.212
